"((5, 0), (4, 1))",[-347.94465568 -347.34763073 -347.34771404 -335.70476858]
"((4, 0), (4, 1))",[-340.697218   -341.65811289 -342.64564731 -337.51317166]
"((3, 0), (4, 1))",[-342.72335766 -338.25053604 -338.36850858 -338.42206501]
"((2, 0), (4, 1))",[-337.05052174 -340.25039088 -342.15288371 -340.73773552]
"((1, 0), (4, 1))",[-336.24219237 -340.62532174 -340.60920527 -334.32097121]
"((0, 0), (4, 1))",[-334.38866325 -340.49329609 -334.38866325 -336.47515322]
"((5, 1), (4, 1))",[-324.9543117  -335.70465619 -347.3446793  -347.3476322 ]
"((4, 1), (3, 1))",[-313.08516333 -337.69028883 -337.43288726 -337.7021981 ]
"((3, 1), (2, 1))",[-300.08602357 -326.95348594 -326.9536882  -326.95197249]
"((2, 1), (1, 1))",[-300.08602332 -315.06632361 -285.94547835 -315.08515875]
"((3, 1), (1, 1))",[-300.08432322 -301.53228893 -300.76199916 -304.61555543]
"((2, 0), (1, 1))",[-270.65199833 -302.08588096 -285.94362769 -300.08599752]
"((1, 0), (1, 1))",[-285.94463511 -285.94547344 -270.65198746 -256.21413973]
"((0, 0), (1, 1))",[-274.42286946 -270.65196739 -274.42286946 -278.20058657]
"((3, 0), (1, 1))",[-285.9454775  -288.26714993 -289.66858443 -288.21252325]
"((2, 2), (1, 1))",[-302.89668401 -307.28704182 -300.08602339 -509.5       ]
"((1, 2), (1, 1))",[-294.63367015 -303.38322207 -293.68641949 -293.67410432]
"((0, 2), (1, 1))",[-289.64050133 -295.78869297 -288.50228764 -292.31986693]
"((3, 2), (1, 1))",[-306.87706438 -300.30485993 -303.7923367  -510.        ]
"((4, 1), (1, 1))",[-301.95798217 -295.70559538 -297.92989446 -297.06524259]
"((4, 0), (1, 1))",[-294.54698838 -291.95968514 -296.3962808  -295.15448318]
"((4, 2), (1, 1))",[-294.93381525 -294.5652087  -299.2572894  -510.5       ]
"((1, 1), (1, 2))",[-270.65199337 -270.65171127 -270.64755666 -242.64054518]
"((0, 1), (1, 2))",[-259.17715449 -256.21413954 -258.17842511 -257.34851262]
"((2, 1), (1, 2))",[-256.21413973 -261.50233761 -256.79444551 -267.78381557]
"((1, 0), (1, 2))",[-259.28212745 -260.97313337 -259.17715449 -256.21385067]
"((0, 0), (1, 2))",[-258.14739475 -260.48756484 -251.30845455 -258.4336101 ]
"((2, 0), (1, 2))",[-255.74577897 -261.71767861 -251.30845455 -259.1800012 ]
"((1, 2), (1, 3))",[-256.19638765 -256.21089717 -256.21384787 -229.93994463]
"((0, 2), (1, 3))",[-243.93143952 -242.63918204 -249.42056638 -243.0409305 ]
"((2, 2), (1, 3))",[-242.64038305 -246.76792991 -243.05348741 -507.5       ]
"((1, 1), (1, 3))",[-247.18786109 -247.08301783 -248.49429085 -242.64053149]
"((0, 1), (1, 3))",[-250.05167193 -247.09725476 -247.23544274 -249.73542004]
"((2, 1), (1, 3))",[-249.40242231 -243.74439904 -245.49532465 -246.87472642]
"((1, 0), (1, 3))",[-244.1469171  -248.19484799 -244.66013938 -245.27848024]
"((0, 0), (1, 3))",[-243.52608498 -245.42919703 -243.52608498 -246.8696953 ]
"((2, 0), (1, 3))",[-244.28511137 -248.69812072 -243.52608498 -250.37675465]
"((1, 3), (1, 4))",[ -232.4733093  -1014.99996975  -242.64040421  -218.12115619]
"((0, 3), (1, 4))",[-222.2972106  -222.98930611 -224.81260923 -221.23954454]
"((2, 3), (1, 4))",[0. 0. 0. 0.]
"((4, 1), (4, 2))",[-328.38538668 -327.87529159 -328.34824876 -759.        ]
"((3, 1), (4, 2))",[-324.07241415 -327.85869309 -321.99520963 -322.71571104]
"((2, 1), (4, 2))",[-323.83131482 -323.01071112 -319.87389456 -321.88061324]
"((1, 1), (4, 2))",[-321.7045465  -320.72148477 -322.74015037 -321.27289039]
"((0, 1), (4, 2))",[-315.81151529 -319.34148493 -319.29392405 -318.4142949 ]
"((5, 1), (4, 2))",[-321.31328045 -321.23155496 -324.3675859  -317.06815102]
"((4, 0), (4, 2))",[-322.13783729 -324.05833716 -326.62539719 -326.72498438]
"((3, 0), (4, 2))",[-322.60770158 -320.50728625 -320.76832847 -319.16576552]
"((2, 0), (4, 2))",[-320.70226014 -318.8132486  -316.67830725 -320.41417341]
"((1, 0), (4, 2))",[-319.03485311 -318.22259454 -322.73245771 -323.1673534 ]
"((0, 0), (4, 2))",[-319.62189162 -318.83291474 -319.62189162 -318.91606901]
"((5, 0), (4, 2))",[-323.05825832 -326.51542191 -326.36485128 -324.35341714]
"((4, 2), (4, 3))",[0. 0. 0. 0.]
"((3, 2), (4, 2))",[-321.80598966 -323.08010342 -321.86530857 -760.5       ]
"((2, 2), (4, 2))",[-318.76102978 -319.99453289 -323.67080811 -761.25      ]
"((1, 2), (4, 2))",[-316.33002333 -315.66582052 -320.42534404 -318.09427557]
"((0, 2), (4, 2))",[-316.67830725 -318.09282998 -315.6495701  -316.97017101]
"((5, 2), (4, 2))",[-307.1441176  -308.27853662 -309.74855135 -760.5       ]
"((4, 2), (3, 2))",[-296.10591466 -296.75252045 -301.9444532  -761.25      ]
"((3, 2), (2, 2))",[-283.94546747 -286.4234116  -294.9695516  -762.        ]
"((2, 2), (1, 2))",[-274.63704615 -274.49217383 -270.65199781 -508.5       ]
"((3, 2), (1, 2))",[-275.58572797 -270.73004506 -269.62878887 -890.75      ]
"((3, 1), (1, 2))",[-264.68911454 -264.01050891 -264.38676653 -272.5346201 ]
"((3, 0), (1, 2))",[-259.95176022 -263.69060669 -257.05531192 -266.98880873]
"((2, 3), (1, 2))",[0. 0. 0. 0.]
"((5, 2), (4, 1))",[-337.28154191 -338.36850858 -335.70476445 -508.        ]
